true_label,class,attack_type,source,flow_id,mean_Length_of_IP_packets,std_Length_of_IP_packets,max_Length_of_IP_packets,min_Length_of_IP_packets,mean_Length_of_TCP_payload,std_Length_of_TCP_payload,max_Length_of_TCP_payload,min_Length_of_TCP_payload,Length_of_TCP_payload,mean_Time_difference_between_packets_per_session,std_Time_difference_between_packets_per_session,max_Time_difference_between_packets_per_session,min_Time_difference_between_packets_per_session,mean_Interval_of_arrival_time_of_forward_traffic,std_Interval_of_arrival_time_of_forward_traffic,max_Interval_of_arrival_time_of_forward_traffic,min_Interval_of_arrival_time_of_forward_traffic,mean_Interval_of_arrival_time_of_backward_traffic,std_Interval_of_arrival_time_of_backward_traffic,max_Interval_of_arrival_time_of_backward_traffic,min_Interval_of_arrival_time_of_backward_traffic,median_Time_difference_between_packets_per_session,mean_time_to_live,std_time_to_live,max_time_to_live,min_time_to_live,mean_TCP_windows_size_value,std_TCP_windows_size_value,max_TCP_windows_size_value,min_TCP_windows_size_value,median_TCP_windows_size_value,The_times_of_change_of_payload_per_session,Change_values_of_TCP_windows_length_per_session,src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_packets,requested_server_name,client_fingerprint,server_fingerprint
0,exfil,mta_lumma,Lumma_2025-12-30.pcap,10.12.30.101:55891-142.250.113.94:443-6-1767064483087,317.96875,477.1987132161625,1514,54,226.49999999999994,389.57131271733505,1514,54,3171,8.806451612903224,17.296279667101267,70,0,21.0,25.67424130654432,70,0,13.882352941176473,20.51792616512807,70,0,17.0,0.0,0.0,0.0,0.0,626.397762345679,637.5109953493284,1514.0,54.0,317.96875,24,26,10.12.30.101,142.250.113.94,55891,443,6,32,clientservices.googleapis.com,t13d1516h2_8daaf6152771_d8a2da3f94cd,907bf3ecef1c987c889946b737b43de8
0,benign,benign,ctu_normal7_general_2013.pcap,10.0.0.46:39340-77.67.96.229:443-6-1387315378069,742.234756097561,686.9807250472788,1506,54,117.74233128834354,137.907268403381,647,66,19192,250.3639143730887,2528.1709177280677,31961,0,504.9567901234568,3581.9028225817974,31999,0,498.82926829268297,3559.5429940513536,31961,0,2.0,0.0,0.0,0.0,0.0,672.4594070159422,606.1847095396964,1506.0,54.0,647.0,306,311,10.0.0.46,77.67.96.229,39340,443,6,328,humblebundle-a.akamaihd.net,t12d1810s2_27d4652c4487_736b2a1ed4d3,1a1694e1fbb28471f66676e1623a7e2b
0,benign,benign,ctu_normal14_win_full_2017.pcap,10.0.2.15:50200-31.13.91.6:443-6-1343027,108.06666666666666,134.71635104208858,571,54,126.5,180.46922966850295,571,54,1012,727.7857142857143,2591.8909396147715,9730,0,1455.5714285714284,3650.1921801983185,9730,1,1687.8333333333335,4065.780290014042,9987,11,33.0,0.0,0.0,0.0,0.0,202.84074074074073,201.599261326406,571.0,54.0,108.06666666666666,7,9,10.0.2.15,31.13.91.6,50200,443,6,15,staticxx.facebook.com,t12d1712h2_67e6df579eba_88be6878e1da,96681175a9547081bf3d417f1a572091
0,benign,benign,ctu_normal20_win_2017_https.pcap,10.0.2.15:49301-52.18.163.110:443-6-720735,206.56521739130426,375.86879070506365,1474,54,90.2,67.59815908078497,247,54,902,272.8636363636364,1106.1574974165792,5215,0,666.8888888888889,1709.341133627548,5215,1,496.6666666666667,1562.771217673233,5454,0,3.5,0.0,0.0,0.0,0.0,438.8713489409142,559.7720989755718,1474.0,54.0,206.56521739130426,15,17,10.0.2.15,52.18.163.110,49301,443,6,23,adobe.demdex.net,t12d1509h2_073e58a039a6_e70312a1ce2c,303951d4c50efb2e991652225a6f02b1
0,c2_beaconing,mta_qakbot,Qakbot_2022-12-09.pcap,10.12.9.101:49808-172.64.155.106:443-6-1670629537340,506.92857142857144,626.0735330478911,1514,54,107.66666666666667,111.89795134474765,419,54,1292,12.925925925925926,36.071431190738025,162,0,31.727272727272727,52.7031135875119,163,0,20.799999999999997,46.66170041601876,162,0,22.0,0.0,0.0,0.0,0.0,558.885582010582,565.3251261445301,1514.0,54.0,419.0,23,25,10.12.9.101,172.64.155.106,49808,443,6,28,www.broadcom.com,t12d190700_d83cc789557e_2dae41c691ec,e085e0238ef6992d34d7e070139f1840
1,c2_beaconing,mta_qakbot,Qakbot_2022-11-14_1.pcap,172.16.24.174:51351-194.165.16.90:443-6-1668459583724,466.32,610.5326035520134,1514,54,493.1666666666667,647.6681014971864,1514,54,5918,67.125,166.41339633052647,623,0,146.45454545454544,225.85276780963463,623,0,116.0,220.67128989023058,623,0,110.0,0.0,0.0,0.0,0.0,678.3361253561253,614.6092548983562,1514.0,54.0,466.32,14,16,172.16.24.174,194.165.16.90,51351,443,6,25,,t12i190600_d83cc789557e_2dae41c691ec,f176ba63b4d68e576b5ba345bec2c7b7
1,c2_beaconing,mta_qakbot,Qakbot_2022-11-14_1.pcap,172.16.24.174:51260-194.165.16.90:443-6-1668459438252,466.32,610.5326035520134,1514,54,493.1666666666667,647.6681014971864,1514,54,5918,60.583333333333336,148.14913657077676,505,0,132.1818181818182,200.428450167045,506,0,102.83333333333334,194.84298262649304,505,0,1.0,0.0,0.0,0.0,0.0,678.3361253561253,614.6092548983562,1514.0,54.0,466.32,14,16,172.16.24.174,194.165.16.90,51260,443,6,25,,t12i190600_d83cc789557e_2dae41c691ec,f176ba63b4d68e576b5ba345bec2c7b7
0,benign,benign,ctu_normal21_kali_2017.pcap,192.168.1.191:38082-185.29.133.33:443-6-1493726680633,59.33333333333333,8.640987597877148,74,54,59.0,10.0,74,54,236,43.8,46.91161902983097,113,0,73.0,34.698703145794944,113,51,168.0,0.0,168,168,55.0,0.0,0.0,0.0,0.0,61.592592592592595,7.56172587553498,74.0,54.0,59.33333333333333,0,2,192.168.1.191,185.29.133.33,38082,443,6,6,,,
0,benign,benign,ctu_normal20_win_2017_https.pcap,10.0.2.15:64864-216.172.188.60:5100-6-9480615,183.73684210526318,330.21017584853155,1474,54,94.66666666666667,71.50699266505339,251,54,852,392.66666666666674,1298.1831195038342,5576,0,883.5,1899.9330063377047,5576,1,766.3333333333334,1902.3890900654367,5830,0,14.0,0.0,0.0,0.0,0.0,433.70038986354774,561.4070578480519,1474.0,54.0,183.73684210526318,12,14,10.0.2.15,216.172.188.60,64864,5100,6,19,chatapi.bluehost.com,t12d1509h2_073e58a039a6_e70312a1ce2c,389ed42c02ebecc32e73aa31def07e14
1,exfil,mta_lumma,Lumma_2025-08-15.pcap,10.8.15.176:62815-5.10.250.239:443-6-1755287191975,60.0,4.898979485566356,66,54,61.5,3.0,66,60,246,74.66666666666666,81.43136168987148,150,0,99.66666666666666,86.3268980870582,151,0,150.0,0.0,150,150,148.5,0.0,0.0,0.0,0.0,60.611111111111114,4.507880616689065,66.0,54.0,60.0,0,1,10.8.15.176,5.10.250.239,62815,443,6,7,,,
